country;year;experts;party_id;party;vote;seat;electionyear;family;govt;position;eu_salience;eu_dissent;eu_asylum;eu_budgets;lrgen;lrecon;lrecon_clear;lrecon_salience;galtan;galtan_clear;galtan_salience;immigrate_policy;immigra_salience;immigrate_dissent;multiculturalism;multicult_salience;multicult_dissent;ethnic_minorities;galtan_new;galtan_new_clear;galtan_new_salience;people_vs_elite;antielite_salience;corrupt_salience;members_vs_leadership;party_name;eu_position;eu_budget;immigrate_salience;multiculture;multiculture_salience;multiculture_dissent
the first;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
four lines;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
contain only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nonsense;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
est;2017;15;2201;IRL;13. Jul;44087,00;2015;2. conservative;1;60.666.666;71.333.332;22.307.692;03. Aug;40.833.335;72.666.669;68.666.668;65.999.999;62.666.669;71.999.998;76.666.665;73.333.335;69.333.334;71.999.998;31.428.571;77.333.331;75.333.333;31.428.571;75.999.999;76.666.665;78.666.668;72.857.141;28.666.666;02. Aug;62.857.141;72.142.859;;;;;;;
est;2017;15;2202;EK;24.799.999;26700001,00;2015;3. liberal;1;61.333.332;06. May;37.857.144;48.666.668;43.846.154;03. Aug;31.333.334;65.333.333;71.333.332;51.333.332;57.333.331;55.333.333;48.666.668;45.999.999;4;4;55.999.999;38.571.429;15.333.333;5;50.666.666;47.333.331;45.999.999;38.666.666;27.142.856;7;;;;;;;
est;2017;15;2203;ER;27.700.001;29700001,00;2015;3. liberal;0;67.333.331;8;10.714.285;49.333.334;51.538.463;68.000.002;82.666.664;84.666.662;81.999.998;28.666.666;79.333.334;56.666.665;45.333.333;50.666.666;30.833.333;57.333.331;55.333.333;3;55.999.999;44.666.667;61.999.998;49.333.334;24.000.001;15.333.333;49.285.712;66.428.571;;;;;;;
est;2017;15;2204;SDE;15. Feb;44088,00;2015;5. socialist;1;68.000.002;83.999.996;.9285714;55.999.999;56.923.075;28.666.666;29.333.334;79.333.334;68.000.002;14.666.667;88.000.002;8;31.333.334;59.333.334;25.384.614;24.666.667;61.999.998;22.857.144;20.666.666;20.666.666;78.000.002;74.000.001;4;27.333.333;51.428.571;59.285.712;;;;;;;
est;2017;15;2208;EVE;86.999.998;79000001,00;2015;2. conservative;0;55.714.288;58.666.668;26.666.667;33.636.363;03. May;63.571.429;66.153.846;30.714.285;4;49.166.665;04. May;56.153.846;6.909.091;52.727.275;40.999.999;May 75;54.545.455;44.000.001;62.307.692;46.428.571;47.857.141;55.384.617;84.615.383;81.428.576;9;35.555.556;;;;;;;
est;2017;15;2209;EKRE;81.999.998;69000001,00;2015;1. radical TAN;0;28.666.666;68.000.002;26.428.571;12.666.667;17.142.857;90.666.666;60.666.666;42.666.669;34.666.667;92.666.664;9.333.333;93.999.996;98.000.002;97.333.336;.9285714;94.666.662;85.333.338;.78571427;95.333.338;09. May;90.666.666;88.000.002;71.333.332;85.333.338;78.571.429;89.230.766;;;;;;;
hun;2017;22;2301;MSzP;19. May;43996,00;2014;5. socialist;0;63.636.365;67.272.725;20.999.999;46.666.665;48.000.002;29.545.455;31.818.182;45.500.002;68.571.429;39.047.618;5;46.999.998;48.095.236;46.999.998;60.714.288;45.625;34.117.646;45.833.335;44.117.646;46.842.103;33.888.888;50.999.999;40.588.236;43.000.002;61.999.998;55.263.157;;;;;;;
hun;2017;22;2302;Fidesz;39.5;58799999,00;2014;2. conservative;1;26.363.637;77.727.275;3;10.454.545;11.363.636;8.727.273;4.090.909;64.285.712;61.428.571;92.380.953;91.999.998;83.500.004;9.909.091;99.047.623;.42105263;Sep 75;78.823.528;.875;68.333.335;93.809.528;97.894.735;88.571.424;50.555.553;64.000.001;1;99.499.998;;;;;;;
hun;2017;22;2308;JOBBIK;20.200.001;43993,00;2014;1. radical TAN;0;31.818.182;60.454.545;52.857.141;11.818.181;18.181.819;8.454.545;41.999.998;53.333.335;58.095.236;9;81.000.004;74.000.001;9.636.364;89.523.811;22.352.941;9.666.667;67.058.825;14.666.667;7;89.523.811;76.842.103;79.523.811;72.142.859;83.999.996;86.499.996;81.052.628;;;;;;;
hun;2017;22;2309;LMP;53.000.002;43953,00;2014;7. green;0;59.047.618;62.380.953;02. Aug;45.500.002;42.222.223;37.142.856;02. Jul;55.789.475;May 25;02. Aug;65.263.157;66.842.103;44.000.001;45.789.475;48.571.429;33.125;46.875;37.692.308;26.875;22.631.578;7;72.631.578;67.222.223;06. May;88.095.236;46.999.998;;;;;;;
